CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureBand
C00050,Male,0,Yes,No,37,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),102.24,3606.68,No,25-48m
C00051,Female,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),113.06,4175.13,No,25-48m
C00052,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,99.28,406.34,Yes,0-6m
C00053,Male,0,No,No,53,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.74,5748.14,No,49m+
C00054,Male,1,No,Yes,24,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,127.98,3051.5,Yes,13-24m
C00055,Male,1,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,37.49,1725.14,No,25-48m
C00056,Male,0,No,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.35,528.13,No,13-24m
C00057,Male,0,Yes,No,23,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),92.34,2136.71,No,13-24m
C00058,Male,0,Yes,No,37,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,90.92,3325.0,No,25-48m
C00059,Female,0,Yes,Yes,39,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,119.96,4779.29,Yes,25-48m
C00060,Female,1,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),53.59,3617.18,No,49m+
C00061,Male,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,44.51,1163.63,No,25-48m
C00062,Male,0,Yes,No,5,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),81.9,407.76,Yes,0-6m
C00063,Female,1,No,No,29,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),104.75,3144.44,Yes,25-48m
C00064,Male,0,No,No,62,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),78.28,4976.01,Yes,49m+
C00065,Male,1,Yes,No,45,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),127.33,5806.63,No,25-48m
C00066,Female,0,Yes,No,70,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,93.16,6243.85,No,49m+
C00067,Male,0,Yes,No,64,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,130.9,8400.24,No,49m+
C00068,Male,0,No,No,32,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),91.77,2852.39,Yes,25-48m
C00069,Female,0,No,No,24,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62.6,1546.95,No,13-24m
C00070,Male,0,No,No,71,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,106.08,7374.77,No,49m+
C00071,Female,0,No,Yes,41,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,88.03,3457.13,Yes,25-48m
C00072,Male,0,No,No,38,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),108.03,4039.23,No,25-48m
C00073,Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),113.76,434.27,Yes,0-6m
C00074,Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),136.58,2524.26,Yes,13-24m
C00075,Female,0,No,Yes,49,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,133.32,6470.82,Yes,49m+
C00076,Female,0,No,No,44,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.73,3805.47,No,25-48m
C00077,Female,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),119.95,5415.84,No,25-48m
C00078,Male,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,50.3,2152.27,Yes,25-48m
C00079,Female,0,No,No,69,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,114.53,7620.88,No,49m+
C00080,Male,1,Yes,No,8,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,82.96,676.26,No,7-12m
C00081,Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,43.77,1395.19,No,25-48m
C00082,Male,0,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.17,2703.27,Yes,49m+
C00083,Male,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),121.31,8883.26,Yes,49m+
C00084,Male,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,131.72,6228.75,Yes,25-48m
C00085,Female,0,Yes,No,68,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,108.3,7074.89,No,49m+
C00086,Male,1,No,No,56,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),135.3,7465.74,Yes,49m+
C00087,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),124.97,8537.64,Yes,49m+
C00088,Female,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,114.33,6773.7,Yes,49m+
C00089,Female,0,Yes,No,70,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),98.0,7018.23,No,49m+
C00090,Female,0,No,Yes,22,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,105.5,2435.31,No,13-24m
C00091,Male,1,No,No,65,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.2,6832.49,Yes,49m+
C00092,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,43.34,1113.39,No,25-48m
C00093,Male,0,Yes,No,6,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,100.07,620.19,Yes,0-6m
C00094,Male,0,No,Yes,41,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,83.12,3442.87,Yes,25-48m
C00095,Male,0,Yes,Yes,5,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.1,514.86,No,0-6m
C00096,Male,0,No,No,52,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,123.46,6606.31,No,49m+
C00097,Male,0,No,No,58,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,109.29,6176.22,No,49m+
C00098,Male,1,Yes,No,52,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,128.65,6656.43,Yes,49m+
C00099,Male,0,No,Yes,60,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,107.31,6755.11,No,49m+
C00100,Male,0,Yes,No,7,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Electronic check,90.31,617.04,Yes,7-12m
C00101,Female,1,Yes,Yes,62,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,135.96,8335.66,Yes,49m+
C00102,Female,1,No,No,30,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),114.73,3288.34,Yes,25-48m
C00103,Male,0,No,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,48.13,1086.2,No,13-24m
C00104,Male,0,Yes,Yes,63,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),110.99,7161.83,No,49m+
C00105,Male,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),42.87,1178.14,No,25-48m
C00106,Female,1,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,42.36,2817.89,No,49m+
C00107,Female,0,Yes,No,60,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.16,4023.77,Yes,49m+
C00108,Female,0,No,No,58,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,No,Mailed check,102.63,6122.58,Yes,49m+
C00109,Male,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,136.81,6669.74,No,25-48m
C00110,Male,0,No,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,44.71,2130.59,Yes,49m+
C00111,Male,1,Yes,Yes,31,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,118.88,3518.15,No,25-48m
C00112,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),105.34,6139.57,Yes,49m+
C00113,Female,0,No,No,19,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),124.6,2394.13,Yes,13-24m
C00114,Male,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,51.71,3230.72,Yes,49m+
C00115,Male,0,No,No,64,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),134.11,8628.11,Yes,49m+
C00116,Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,145.75,10174.82,No,49m+
C00117,Female,0,No,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),44.48,1842.7,No,25-48m
C00118,Female,0,No,No,4,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,97.28,373.28,Yes,0-6m
C00119,Female,0,Yes,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),52.81,1822.77,Yes,25-48m
C00120,Male,1,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),121.94,356.82,Yes,0-6m
C00121,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),128.21,2104.54,No,13-24m
C00122,Female,0,Yes,No,39,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,103.44,4002.47,Yes,25-48m
C00123,Female,1,Yes,No,22,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),86.42,1852.17,Yes,13-24m
C00124,Female,0,No,Yes,52,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.79,4131.01,No,49m+
C00125,Female,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),49.65,1044.47,No,13-24m
C00126,Male,0,No,No,54,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),135.43,7386.83,No,49m+
C00127,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,103.35,7073.24,Yes,49m+
C00128,Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),124.28,1014.35,No,7-12m
C00129,Female,0,Yes,No,46,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),77.03,3675.05,Yes,25-48m
C00130,Female,0,Yes,Yes,33,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),111.37,3716.58,No,25-48m
C00131,Female,0,No,Yes,70,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),116.6,8444.08,No,49m+
C00132,Female,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),48.3,1707.3,No,25-48m
C00133,Female,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),125.74,6881.4,No,49m+
C00134,Male,1,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),45.46,1483.71,Yes,25-48m
C00135,Female,0,Yes,No,64,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.88,4811.52,No,49m+
C00136,Male,1,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),45.86,3120.8,No,49m+
C00137,Female,0,No,Yes,44,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),97.81,4455.37,No,25-48m
C00138,Male,0,No,No,19,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,86.36,1682.62,No,13-24m
C00139,Male,0,Yes,No,33,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),74.55,2337.92,No,25-48m
C00140,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.58,3124.79,Yes,49m+
C00141,Male,0,No,Yes,21,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,100.64,2170.28,No,13-24m
C00142,Female,1,No,Yes,1,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,124.45,119.18,Yes,0-6m
C00143,Male,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,46.72,711.79,No,13-24m
C00144,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,107.33,6839.15,Yes,49m+
C00145,Male,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,48.02,2905.08,Yes,49m+
C00146,Female,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),125.27,3231.74,Yes,25-48m
C00147,Female,0,No,No,51,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Electronic check,104.46,5477.6,No,49m+
C00148,Male,0,No,No,17,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),91.3,1611.1,Yes,13-24m
C00149,Male,0,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,41.43,1787.04,Yes,25-48m
C00150,Female,0,No,No,57,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,90.52,5354.49,Yes,49m+
C00151,Male,0,No,No,65,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,110.84,7112.19,Yes,49m+
C00152,Female,1,No,No,7,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),94.32,692.61,Yes,7-12m
C00153,Female,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),120.1,6273.66,No,49m+
C00154,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),143.75,8849.99,No,49m+
C00155,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,125.5,1635.18,Yes,13-24m
C00156,Male,0,Yes,No,18,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,63.82,1119.74,No,13-24m
C00157,Male,1,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.17,2260.59,Yes,49m+
C00158,Female,0,Yes,Yes,72,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,76.9,5291.91,Yes,49m+
C00159,Male,0,Yes,No,17,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.41,1908.22,No,13-24m
C00160,Female,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,51.65,2885.56,No,49m+
C00161,Female,0,Yes,No,8,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),88.38,733.62,No,7-12m
C00162,Male,1,Yes,No,23,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,99.18,2334.0,No,13-24m
C00163,Female,0,No,No,69,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,109.32,7734.55,Yes,49m+
C00164,Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,106.18,984.62,Yes,7-12m
C00165,Male,1,Yes,Yes,39,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,100.09,3859.49,No,25-48m
C00166,Female,0,Yes,No,43,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),93.67,4148.65,No,25-48m
C00167,Male,1,Yes,No,43,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,106.07,4464.15,Yes,25-48m
C00168,Female,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.35,543.01,Yes,7-12m
C00169,Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),128.2,4189.82,No,25-48m
C00170,Female,0,No,Yes,41,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,120.74,4929.56,Yes,25-48m
